nomor,tahun,judul,deskripsi,lokasi,status,detail_url,scraped_at
57,2016,Penggusuran rumah masyarakat Kebonharjo oleh PT. KAI untuk pembangunan rel kereta Stasiun Tawang hingga Pelabuhan Tanjung Mas,"Pada tahun 2015, PT. KAI berencana membuka jalur kereta api baru dari Stasiun Tawang hingga Pelabuhan Tanjung Mas. Hal ini dikarenakan masyarakat Kebonharjo telah memiliki sertifikat hak kepemilikan tanah yang diterbitkan oleh BPN pada tahun 2001. Pada tanggal 19 Mei 2016, terjadi penggusuran oleh PT KAI dengan menggunakan alat berat dibantu aparat gabungan kepolisian dan Satpol PP. Disitulah terjadi bentrok antara warga dengan aparat.",Kereta,Infrastruktur,https://tanahkita.id/data/data/konflik/detil/THVKd1FVODNZR0E,2026-06-09T06:45:20.567573+07:00
58,2021,HGU dari PT Sinar Kartasura diklaim terdapat tanah milik PT KAI,Terjadinya tumpang tindih penguasaan dan pemilikan tanah HGU PT. Sinar Kartasura dengan PT.KAI dan Masyarakat disebabkan oleh masing-masing pihak yang berkonflik dimana pihak PT. Sinar Kartasura dan PT. KAI sama-sama menelantarkan tanahnya,Kereta,Infrastruktur,https://tanahkita.id/data/data/konflik/detil/SjZ0c2poSW81Qms,2026-06-09T06:45:20.567573+07:00
59,2023,"Gugatan perdata yang didaftarkan PT Pelabuhan Indonesia (Pelindo) III kepada Warga Jalan Teluk Kumai Barat, Surabaya",Dilaporkan bahwa warga perak tidak ada itikad baik untuk membayar uang sewa atas lahan berstatus hak pengelolaan (HPL) yang telah ditempati selama bertahun-tahun. HPL yang ditempati warga kini sudah menjadi wewenang pihak Otoritas Pelabuhan Utama Tanjung Perak Surabaya apabila ditinjau dari UU No.17 Tahun 2008,Pelabuhan,Infrastruktur,https://tanahkita.id/data/data/konflik/detil/T1g5SDdKbXJ5ZEE,2026-06-09T06:45:20.567573+07:00
60,2022,Konflik Masyarakat Batui dan Tim Pokja Bentukan Pemda Banggai,"Forum  Petani  Batui  Lingkar  Sawit  (FPBLS)  Batui  mempertanyakan  kinerja  Tim  Investigasi Pemerintah Daerah (Pemda) yang menangani permasalahan  mereka  dengan  PT.  Sawindo  yang  dinilai  lamban,  bahkan  tidak  ada  kejelasan.",Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/YThhaVJpSEFtMkU,2026-06-09T06:45:20.575236+07:00
61,2022,"Para petani dari Sei Mencirim, Kabupaten Deli Serdang, Sumatera Utara, menagih janji Presiden Jokowi yang ingin menuntaskan konflik dan mengembalikan hak atas tanah para petaniyang digusur PT Perkebunan Nusantara (PTPN) II",,PTPN,Perkebunan,https://tanahkita.id/data/data/konflik/detil/VDJld0VvelptVjg,2026-06-09T06:45:21.709215+07:00
62,2022,Persoalan Tanah eks Sikasur,"Gugus Tugas Reforma Agraria (GTRA) Kabupaten Pemalang memberikan laporan kepada Plt Bupati Pemalang atas penyelesaian masalah tanah di Eks Desa Sikasur yang kini menjadi Desa Sodongbasari, Kecamatan Belik, Kabupaten Pemalang. Semua proses pemberkasan peralihan surat hak atas tanah telah selesai, dan diharapkan pada akhir Maret 2023 masyarakat bisa langsung memanfaatkannya sebagai lahan pertanian",Eks-Perkebunan,Perkebunan,https://tanahkita.id/data/data/konflik/detil/OHItc3RPcDh5WnM,2026-06-09T06:45:21.709215+07:00
63,2021,Wilayah Adat Rakyat Penunggu Terancam Proyek Deli Megapolitan,,Perumahan,Perumahan dan Kota Baru,https://tanahkita.id/data/data/konflik/detil/aGU4eWtNLU5VcTQ,2026-06-09T06:45:21.709215+07:00
64,2021,"Perampasan Tanah Warga Desa Pagerwangi Punclut, Kecamatan Lembang, Kabupaten Bandung Barat oleh PT DAM Utama Sakti Prima","Perampasan Tanah Warga Desa Pagerwangi Punclut, Kecamatan Lembang, Kabupaten Bandung Barat oleh PT DAM Utama Sakti Prima",-,Pariwisata,https://tanahkita.id/data/data/konflik/detil/aHRIc2RSQlFHRDA,2026-06-09T06:45:21.709215+07:00
65,2018,"Tuntut Keadilan, Petani Sawit Way Kanan Surati Presiden Jokowi","Pelaksanaan eksekusi sita di lapangan seharusnya dilakukan di lokasi tanah keluarga besar Nataragung di Tanjung Dalom, bukan di lokasi tanah rakyat milik petani plasma sawit dan pabrik PT PLP di Bumiagung.",Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/aFp2RU02bzB4dEE,2026-06-09T06:45:21.709215+07:00
66,2020,Kriminalisasi terhadap petani M. kasim seorang petani dari Desa Pandan Sejahtera Kecamatan Geragai Kabupaten Tanjung Jabung Timur,"Konflik lahan antara masyarakat eks Transmigrasi  Desa Pandan Sejahtera, Kecamatan Geragai Kabupaten Tanjung Jabung Timur dengan perusahaan sawit PT. Indonusa Agromulia (Indonusa Group) mengakibatkan satu orang warga bernama Muhammad Kasim ditetapkan sebagai tersangka",Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/V1JfOVNhZDljMnc,2026-06-09T06:45:21.709215+07:00
67,2022,"Sengketa Tanah Masyarakat Wonorejo, Bupati Blora, dan Perhutani",Masyarakat merasa keberatan apabila harus melakukan pembelian tanah  bekas Perhutani dari Pemerintah Kabupaten Blora,Perum Perhutani,Perkebunan,https://tanahkita.id/data/data/konflik/detil/LTlZUzNRbGljSFE,2026-06-09T06:45:21.709215+07:00
68,2022,Konflik Agraria PTPN IV dan Warga Pendowolimo,"Kisah pahit dialami warga Pendowo Limo, Nagori Bah Kisat, Kecamatan Tanah Jawa, Simalungun. Mereka dipaksa merelakan permukiman yang sudah mereka tempat turun temurun. Begitu juga lahan pertanian yang mereka usahai selama ini akan diambil alih pihak PTPN 4 Unit Balimbingan Tanah Jawa.",PTPN,Perkebunan,https://tanahkita.id/data/data/konflik/detil/dE8tWGp2ZE5yckU,2026-06-09T06:45:21.709215+07:00
69,2022,"Penolakan Tambang di Parigi Moutong, Seorang Warga Tewas Tertembak",Penolakan dilakukan karena warga khawatir sumber air bersih mereka yang masuk ke wilayah konsesi tambang akan hilang. Warga akhirnya berunjuk rasa memblokade jalan dan terjadi penembakan oleh aparat.,Emas,Pertambangan,https://tanahkita.id/data/data/konflik/detil/X0daZnpTRnhsVzQ,2026-06-09T06:45:21.709215+07:00
70,2022,Sengketa Lahan Warga Nagari Aia Gadang dan PT Anam Koto,"Warga Nagari Aia Gadang terombang-ambing. Sebagian lahan sudah mereka serahkan kepada perusahaan sawit, PT Anam Koto, sejak 1990 dengan kesepakatan ada kebun plasma, tetapi hingga kini hanya tak ada realisasi. Belum lagi, harapan mendapatkan tanah obyek reforma agraria pun tak ada kejelasan.",Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/UFI3YnJZVXd6cWM,2026-06-09T06:45:21.709215+07:00
71,2022,Warga Desa Pertumbukan Wampu Klaim Tanah yang Dikuasai PTPN2 yang merupakan Tanah Ulayat,"ratusan warga yang tergabung dalam Masyarakat Adat Rakyat Penunggu Berkat Tanah Kampung Durian Selemak Desa Petumbukan Kecamatan Wampu, menuntut pengembalian hak atas tanah ulayat yang berada di HGU PTPN2 Kawasan Kampung Durian Selemak Desa Petumbukan, Kecamatan Wampu, Kabupaten Langkat, Sumatera Utara, ke DPRD Langkat",PTPN,Perkebunan,https://tanahkita.id/data/data/konflik/detil/Z1VIT3JzazlNY2M,2026-06-09T06:45:22.850277+07:00
72,2021,Warga Binong dan Maleer Korban Penggusuran Citarum Harum Tuntut Hunian Layak,"Warga Kelurahan Binong, Kecamatan Batununggal, Kota Bandung, Jawa Barat, korban penggusuran sempadan Sungai Cikapundung Kolot, meminta DPRD Kota Bandung memfasilitasi kelangsungan hidup mereka, guna mendapat  hunian yang layak",Normalisasi Sungai,Infrastruktur,https://tanahkita.id/data/data/konflik/detil/TW5pMVV5RUhUSGs,2026-06-09T06:45:22.850277+07:00
73,2022,Penolakan replanting perkebunan kelapa sawit PT Agronusa Investama oleh masyarakat Desa Sebatih,"Masyarakat Suku Dayak di Dusun Nilas, Desa Sebatih, Kecamatan Sengah Temila, Kabupaten Landak, Provinsi Kalimantan Barat, menolak Replanting perusahaan perkebunan kelapa sawit PT Agronusa Investama dari Wilmar International Plantation (WIP)",Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/VnJiald3Uk5YQWM,2026-06-09T06:45:22.850277+07:00
74,2022,"Penyerbuan posko petani di wilayah perkebunan Kruwuk, Desa Gadungan, Kecamatan Gandusari, Kabupaten Blitar, Jawa Timur.","Posko Petani Desa Gadungan dirusak oleh sejumlah orang yang tidak dikenal diduga preman suruhan perusahaan perkebunan PT Rotorejo Kruwuk yang tengah bersengketa dengan petani. Sebelumnya, pada 14 Mei 2022,tiga 3 orang petani anggota Panguyuban Petani Kelud Makmur (PPKM) mendapat surat panggilan dari Polres Blitar dengan tuduhan pencurian dan penyerobotan lahan. Tuduhan pencurian ini dilayangkan kepada Untungdan Jarni,sedangkan penyerobotan lahan dilayangkan kepada Sungkono. Surat pemanggilan tersebut merupakan tindak lanjut dari laporan pihak pewaris. Untung dan Jarni difoto oleh pihak perusahaan sedang memotong kayu sengon di LPRA Desa Gadungan ,Kec. Gandusari, Blitar, Jawa Timur. Begitu pun dengan Sungkono,sedang membangun pos pupuk organik untuk persediaan pupuk bagi anggota PPKM. Difoto kemudiaan dilaporkan atas tindakan pidana",Perkebunan Karet,Perkebunan,https://tanahkita.id/data/data/konflik/detil/b2VKNlg5dUluT2M,2026-06-09T06:45:22.850277+07:00
75,2023,Vonis Penjara Ahli Waris dan PT.Sampoerna Agro,"Pada tahun 2008 dengan tanpa hak dan melawan hukum ternyata tanah hak usaha alm orang tuanya, seluas 248 ha digusur dan ditanami kelapa sawit oleh perusahaan perkebunan, dengan dalil lahan tersebut termasuk dalam hak guna usaha. Tahun 2022,  Elli selaku ahli waris divonis 8 bulan penjara. Sejak 2008 di desa Cinta Jaya terdapat 4 (empat) konsensi perusahaan sawit seluas 2.024 Ha yang sebagain besar berada di wilayah Areal Penggunaan Lain (APL). Perusahan tersebut adalah PT Sampoerna Agro, PT Gading Cempaka, PT Rambang Agro Jaya dan PT Klantan. Kehadiran perusahaan tersebut mendorong konflik batas desa dan munculnya spekulasi tanah (pasar tanah). Konflik batas desa yang terjadi akibat penetrasi perusahaan sawit, antara desa Cinta Jaya dengan 3 desa lainya yaitu desa Pedamaran 2, Pedamaran 4 dan Pedamaran 5. Selain menimbulkan konflik batas desa, sejak hadirnya perusahaan, lahan persawahan masyarakat sering mengalami banjir dan mengakibatkan gagal panen karena kanal yang dibangun perusahaan di wilayah konsensi berdampak pada rusaknya sistem aliran air lahan pertanian dan persawahan masyarakat yang berada sekitar areal konsensi",Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/UklILS1Xdmd1d28,2026-06-09T06:45:22.850277+07:00
76,2023,Konflik Rumpun Suka Kecamatan Tinanggea dan Perusahaan Pertambangan PT Ifishdeco,"Pihak Rumpun Suka menyebut, lokasi Lalo Ndowua di Desa Roraya, Kecamatan Tinanggea, Kabupaten Konawe Selatan (Konsel) yang saat ini masuk kawasan hak guna usaha (HGU) PT Ifishdeco merupakan tanah leluhur. Sehingga pihak rumpun meminta agar perusahaan tersebut tidak melakukan aktivitas pertambangan di sana. Sebelumnya pada  Januari 2012, Ratusan warga di empat desa di kecamatan Tinanggea menggelar aksi. Mereka menolak keberadaan perusahaan tambang PT Ififdeko, karena dianggap berdiri diatas lahan mereka. Aksi ratusan warga tersebut dipusatkan di lokasi PT Ififdeko. Mereka sengaja melakukan aksi dilokasi tersebut karena mengklaim perusahaan tersebut telah mengambil tanah garapan warga dan tidak membayar ganti rugi kepada warga. Apalagi, perusahaan diketahui telah melakukan aktivitas penambangan. Jika tidak, warga mengancam akan menduduki perusahaan tersebut.",Nikel,Pertambangan,https://tanahkita.id/data/data/konflik/detil/QWNjTjB1N3VFU00,2026-06-09T06:45:22.850277+07:00
77,2023,Sengketa Lahan Masyarakat Morowali Utara dengan PT Agro Nusa Abadi (ANA),Masyarakat sekitar telah memiliki lahan tersebut dan mengelolanya sejak 1990-an. Situasi kemudian berubah ketika PT ANA datang menyerobot lahan mereka tanpa sosialisasi terlebih dahulu.,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/Z2VxSHFPS01YdFk,2026-06-09T06:45:22.850277+07:00
78,2023,Kriminalisasi Petani dengan Tuduhan Penyerobotan Lahan HGU PTPN VII,"Empat petani mengalami kriminalisasi dengan tuduhan menyerobot lahan HGU PTPN VIII Cisaruni, di Desa Cikajang, Garut-Jawa Barat.",PTPN,Perkebunan,https://tanahkita.id/data/data/konflik/detil/X0w3amtMNC1WX2c,2026-06-09T06:45:22.850277+07:00
79,2023,"Ganti Rugi Belum Dibayar, Warga Kembali Blokir Akses Masuk Tol Jatikarya",Blokade warga yang dilakukan di segmen Cimanggis Junction-On/Off Ramp Jatikarya dilakukan baik di Jalur A arah Cimanggis menuju Jatikarya dan Jalur B arah Jatikarya menuju Jakarta karena soal pembayaran pembebasan lahan warga yang terdampak proyek tol Cimanggis-Cibitung ruas Cimanggis-Jatikarya.,Jalan & Jalan Tol,Infrastruktur,https://tanahkita.id/data/data/konflik/detil/VU94c2d6d2w2czg,2026-06-09T06:45:22.850277+07:00
80,2022,Konflik PTPN III dengan Petani Gurilla,"Alat berat PTPN III masih beroperasi di Kawasan eks HGU No 3 Kampung Baru, Gurilla, Kota Pematang Siantar, Sumatera Utara, Sabtu (26/11). Susi Sipahutar dari Jaringan Rakyat Siantar Simalungun Bersatu mengatakan, alat berat merangsek ke Kawasan Flamboyan 2 Gurila terus beroperasi mengeruk tanah perkebunan dengan alasan membuat parit.  Ricuh proses eksekusi lahan PTPN III, sudah berulang kali terjadi dalam sebulan terakhir. Warga menolak ganti rugi dan memilih tetap bertahan di rumah Kegiatan yang berada di kawasan pemukiman masyarakat yang tidak terima tali asih ini membuat masyarakat merasa terintimidasi oleh alat berat dan kehadiran aparat keamanan TNI/Polri.",PTPN,Perkebunan,https://tanahkita.id/data/data/konflik/detil/MFFuZ0JWcGNVZ3M,2026-06-09T06:45:22.850277+07:00
81,2022,Konflik Agraria Kelompok Tani Torang Jaya Mandiri (KTTJM) dengan PT. SSL dan PT. SRL,Pihak perusahaan menuduh warga melakukan penyerobotan areal HTI mereka. Padahal sekitar 522 masyarakat telah menguasai tanah seluas 1.025 hektar sejak 2004,Hutan Produksi,Hutan Produksi,https://tanahkita.id/data/data/konflik/detil/d2MwMkxNX01VYTA,2026-06-09T06:45:23.989386+07:00
82,2022,Konflik lahan perkebunan antara warga Tegalrejo Sumbermanjing Wetan dengan PTPN XII Pancursari,,PTPN,Perkebunan,https://tanahkita.id/data/data/konflik/detil/ODZPdkN1aEJrVWs,2026-06-09T06:45:23.997167+07:00
83,2022,Konflik PTPN XIV dengan warga Desa Batu Mila,"PTPN dilaporkan oleh warga atas dugaan perusakan lingkungan dan penggusuran lahan warga untuk ekspansi kelapa sawit, padahal HGU yang dimiliki oleh PTPN sudah habis sejak 2003",PTPN,Perkebunan,https://tanahkita.id/data/data/konflik/detil/dndkckswYzJlaUE,2026-06-09T06:45:23.997167+07:00
84,2022,"KSPN Borobudur-Yogyakarta-Prambanan: Mega Proyek Industri Pariwisata Massal, Rakyat Kian Marjinal","Warga Desa Borobudur, Kecamatan Borobudur menuding pemerintah  menjagal cagar budaya terkait konflik tanah di wilayah mereka. Warga mengadukan ke Ombudsman Jawa Tengah terkait klaim Balai Konservasi Borobudur, yang merupakan instansi di bawah Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",-,Pariwisata,https://tanahkita.id/data/data/konflik/detil/eUVJVDIybncxenc,2026-06-09T06:45:23.997167+07:00
85,2020,"Kasus penggusuran di Kentingan, Surakarta",Terjadi penggusuran paksa terhadap rumah milik 19 warga dan beberapa kios dagang warga yang dilakukan oleh Satpol PP Surakarta dan Kepolisian Resor Surakarta tanpa memiliki dasar hukum dan syarat dengan perlakukan intimidatif.,Pendidikan,Sarana Umum,https://tanahkita.id/data/data/konflik/detil/RUJoSmJIMFlkemc,2026-06-09T06:45:23.997167+07:00
86,2019,Aksi pemalangan akses jalan tambang menuju Ake Jira,Praktik penamabangan nikel oleh PT Indonesia Weda bay Industrial Park (IWIP) dan PT Tekindo yang dilakukan di atas hutan yang masih menjadi wilayah untuk masyarakat adat orang tobelo dalam,Nikel,Pertambangan,https://tanahkita.id/data/data/konflik/detil/TFBadEotLVVtQzg,2026-06-09T06:45:23.997167+07:00
87,2021,Konflik antara masyarakat adat Dayak Tomun di Laman Kinipan dengan perusahaan sawit di Kalimantan Tengah.,"Masyarakat adat Dayak Tomun di Laman Kinipan mengajukan gugatan ke Pengadilan Tata Usaha Negara (PTUN) Palangkaraya. Tergugatnya adalah bupati Lamandau, Kalimantan Tengah",Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/MWRVaDZieFg1LXc,2026-06-09T06:45:23.997167+07:00
88,2023,"PT. WIN belum menyelesaikan sengketa terkait penyerobotan lahan warga di Desa Kerayaan, Kutai Timur.",PT.Wira Inova Nusantara melakukan penyerobotan lahan milik warga seluas 435 hektar dan tidak menunjukan tindakan kooperatif untuk menyelesaikan sengketa sesuai dengan audiensi dan kesepakatan sebelumnya.,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/UHAxMDl0TElyaUU,2026-06-09T06:45:23.997167+07:00
89,2023,Sengketa Lahan PT. JGA dan Warga Pengaron,PT. JGA diduga melakukan tindak penyerobotan lahan untuk jalan hauling tambang batubara.,Batu Bara,Pertambangan,https://tanahkita.id/data/data/konflik/detil/YUxRWVdsY0FIM0k,2026-06-09T06:45:23.997167+07:00
90,2023,"Mediasi PT.Putra Bangun Bersama (PBB) dan Warga Simpang Nungki, Batola",Warga Simpang Nungki Batola melaporkan PT.PBB atas dugaan penyerobotan lahan warga untuk perkebunan sawit tanpa ganti rugi.,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/c1ktY1NuUmU0Mmc,2026-06-09T06:45:23.997167+07:00
91,2022,Warga Kembali Hadang Proyek Strategis Nasional di Labuan Bajo,"Penggusuran picu protes warga terhadap pembukaan jalan oleh BPO-LBF sebagai akses ke lahan 400 hektar di Hutan Bowosie yang hendak dikembangkan sebagai kawasan bisnis pariwisata, bagian dari PSN.",-,Pariwisata,https://tanahkita.id/data/data/konflik/detil/a2xTdXNSVHpfRlk,2026-06-09T06:45:25.178321+07:00
92,2022,konflik pertanahan antara masyarakat Desa Mariah Jambi dengan PT Perkebunan Nusantara IV (PTPN IV),,PTPN,Perkebunan,https://tanahkita.id/data/data/konflik/detil/VVlSOXBtZC1JRTg,2026-06-09T06:45:25.179932+07:00
93,2022,Konflik Agraria PTPN II Simalingkar A Memakan Korban Jiwa,Pihak masyarakat yang merasa tidak ada kejelasan soal ganti rugi lahan milik mereka yang digunakan untuk pembangunan PLTA Peusangan 1 dan 2 serta adanya perbedaan luas lahan yang telah disepakati.,PTPN,Perkebunan,https://tanahkita.id/data/data/konflik/detil/MVpBcUsxQ01HZzQ,2026-06-09T06:45:25.180132+07:00
94,2023,Konflik Agraria Warga Tanah Merah dengan Pertamina hingga Terus Jadi Bursa Politik di Jakarta,Kebakaran Depo Pertamina menjadi tragedi yang menunjukkan salah satu dampak lambatnya penanganan kasus sengketa lahan. Penanganan kasus lahan tempat tinggal masyarakat yang begitu dekat dengan Depo Pertamina itu begitu lambat ditangani karena selalu menjadi lahan politisasi oleh oknum pejabat,-,Sarana Militer/Pemerintahan,https://tanahkita.id/data/data/konflik/detil/eVpOcmpRR3dqWUE,2026-06-09T06:45:25.180132+07:00
95,2022,Konflik Masyarakat Adat Pantai Raja dengan PTPN V,Masyarakat Adat Pantai Raja hingga saat ini belum mendapat kejelasan terkait lahan mereka yang dianggap telah memasuki lahan dengan HGU milik PTPN V,PTPN,Perkebunan,https://tanahkita.id/data/data/konflik/detil/TjJTbmNIUE9jWUE,2026-06-09T06:45:25.180132+07:00
96,2022,Konflik Masyarakat Wae Sano Yang Menolak Pembangunan Proyek Nasional Geothermal,"Proyek Geothermal menjadi permasalahan karena adanya resiko yang berdampak merusak ruang hidup masyarakat Wae San.  Proyek pembangunan panas bumi (geothermal) nasional di Desa Wae Sano, Kecamatan Sano Nggoang, Kabupaten Manggarai Barat, Nusa Tenggara Timur mendapatkan perlawanan dari masyarakat Desa. Pembangunan proyek geotermal tersebut akan ditangani PT Sarana Multi Infrastruktur (SMI) yang telah mendapatkan mandat dari pemerintah pusat berdasarkan PMK No. 62/PMK.08/2017 tentang Pengelolaan Dana Pembiayaan Infrastruktur. Berdasarkan kajian awal Wae Sano menyimpan potensi energi panas bumi hingga 50 megawatt (MW), untuk kebutuhan dana sebesar Rp 3,1 triliun diambil dari Anggaran Pendapatan Belanja Nagara/APBN sebagai bentuk penugasan pemerintah pusat berdasarkan Peraturan Menteri Keuangan (PMK) Nomor 62/PMK.08/2017. Selain dari APBN, dana pembangunan proyek geothermal berasal dari hibah Bank Dunia sebesar Rp 711 miliar yang disebut dengan Clean Technology Fund (CTF) â€“ Global Environment Facility (GEF).",PLTPB,Infrastruktur Energi Listrik,https://tanahkita.id/data/data/konflik/detil/cF9fcUFvRVpQWk0,2026-06-09T06:45:25.180132+07:00
97,2022,Sengketa Proyek Waduk Jabung Ring Dyke,Perubahan fungsi waduk yang awalnya berupa rawa menjadi tambak berpotensi menyebabkan kerugian bagi masyarakat secara ekonomi. Penggarap tambak yang dilakukan oleh orang luar daerah juga menyebabkan warga geram.,Lahan Tambak,Bendungan,https://tanahkita.id/data/data/konflik/detil/VU9felc1a3dGVEU,2026-06-09T06:45:25.180132+07:00
