,,,,,Targe,tRPJM,N 202,1: 85%,,,,,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,271.952,"3,84",10.443,218,162,344,276,17,5,11,15,590,458,1.048,"10,04",0,0,0,0,0,0,0,"0,00",,,
29,Gorontalo,118.781,"4,84",5.749,285,210,425,353,24,15,47,65,781,643,1.424,"24,77",4,3,7,0,11,3,14,"3,05",,,
30,Sulawesi Barat,141.096,"4,88",6.885,73,51,156,98,9,1,3,5,241,155,396,"5,75",1,0,1,2,2,2,4,"3,33",,,
31,Maluku,172.816,"3,74",6.463,120,95,179,108,13,16,14,9,326,228,554,"8,57",0,2,2,3,2,5,7,"5,05",,,
32,Maluku Utara,123.806,"2,29",2.835,84,50,117,75,3,1,0,0,204,126,330,"11,64",1,2,3,0,4,2,6,"7,09",,,
33,Papua Barat,97.542,"2,88",2.809,68,66,107,88,2,1,4,2,181,157,338,"12,03",3,2,5,0,8,2,10,"12,13",,,
34,Papua,318.861,"2,80",8.928,409,341,451,495,72,60,67,58,999,954,1.953,"21,87",0,0,0,0,0,0,0,"0,00",,,
Indonesia,,24.958.589,"3,55",886.030,41.523,37.797,100.317,88.452,2.680,1.910,2.985,2.597,147.505,130.756,278.261,"31,41",87,82,169,106,256,188,444,"0,16",,,
No,Provinsi,Balita Batuk Atau Kesukaran Bernafas,,,Batuk Bukan Pneumonia,,,Jumlah Kab/Kota,Jumlah Kab/Kota Yang 50% Puskesmas Melakukan Tatalaksana Standar Minimal 60%,Persentase Kab/Kota Yang 50% Puskesmas Melakukan Tatalaksana Standar Minimal 60%,,,,,,,,,,,,,,,,,
,,Jumlah Kunjungan,Diberikan Tatalaksana Standar (Dihitung Napas/ Lihat TDDK*),Persentase Yang Diberikan Tatalaksana Standar,,,,,,,,,,,,,,,,,,,,,,,
,,,,,L,P,L + P,,,,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,,,,,,,,,,,,,,,,
1,Aceh,94.501,52.839,"55,9",44.360,42.949,87.309,23,10,"43,48",,,,,,,,,,,,,,,,,
2,Sumatera Utara,196.696,154.881,"86,6",113.538,113.302,226.840,33,15,"45,45",,,,,,,,,,,,,,,,,
3,Sumatera Barat,81.619,70.508,"103,7",40.240,40.400,80.640,19,17,"89,47",,,,,,,,,,,,,,,,,
4,Riau,106.762,85.978,"104,7",49.502,48.070,97.572,12,9,"75,00",,,,,,,,,,,,,,,,,
5,Jambi,88.882,82.593,"139,4",41.590,40.891,82.481,11,11,"100,00",,,,,,,,,,,,,,,,,
6,Sumatera Selatan,140.888,132.123,"150,0",72.292,71.274,143.566,17,14,"82,35",,,,,,,,,,,,,,,,,
7,Bengkulu,34.965,32.347,"157,3",16.421,17.082,33.503,10,6,"60,00",,,,,,,,,,,,,,,,,
8,Lampung,161.506,164.165,"193,1",87.403,89.337,176.740,15,14,"93,33",,,,,,,,,,,,,,,,,
9,Kep. Bangka Belitung,22.900,22.679,"178,3",10.693,9.791,20.484,7,7,"100,00",,,,,,,,,,,,,,,,,
10,Kepulauan Riau,33.476,26.414,"110,5",15.546,14.950,30.496,7,4,"57,14",,,,,,,,,,,,,,,,,
11,DKI Jakarta,154.371,151.952,"216,6",75.818,66.597,142.415,6,6,"100,00",,,,,,,,,,,,,,,,,
12,Jawa Barat,922.230,749.816,"170,7",428.791,424.076,852.867,27,26,"96,30",,,,,,,,,,,,,,,,,
13,Jawa Tengah,553.082,509.845,"212,0",291.612,292.388,584.000,35,25,"71,43",,,,,,,,,,,,,,,,,
14,DI Yogyakarta,17.450,18.811,"258,7",10.530,9.779,20.309,5,3,"60,00",,,,,,,,,,,,,,,,,
15,Jawa Timur,652.502,585.460,"224,3",290.599,298.367,588.966,38,36,"94,74",,,,,,,,,,,,,,,,,
16,Banten,273.096,226.496,"165,9",123.142,118.435,241.577,8,7,"87,50",,,,,,,,,,,,,,,,,
17,Bali,40.958,41.150,"361,7",23.550,20.554,44.104,9,9,"100,00",,,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,170.265,141.734,"308,0",83.234,79.686,162.920,10,10,"100,00",,,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,122.001,119.619,"372,6",60.266,60.043,120.309,22,14,"63,64",,,,,,,,,,,,,,,,,
20,Kalimantan Barat,41.320,34.790,"218,9",33.209,31.406,64.615,14,4,"28,57",,,,,,,,,,,,,,,,,
21,Kalimantan Tengah,27.844,25.814,"250,3",14.893,13.730,28.623,14,11,"78,57",,,,,,,,,,,,,,,,,
22,Kalimantan Selatan,41.393,39.368,"266,3",25.319,24.034,49.353,13,11,"84,62",,,,,,,,,,,,,,,,,
23,Kalimantan Timur,64.650,44.915,"201,5",34.130,30.596,64.726,10,6,"60,00",,,,,,,,,,,,,,,,,
24,Kalimantan Utara,18.281,13.342,"313,8",9.409,8.500,17.909,5,4,"80,00",,,,,,,,,,,,,,,,,
25,Sulawesi Utara,18.046,14.553,"241,9",17.049,15.940,32.989,15,2,"13,33",,,,,,,,,,,,,,,,,
26,Sulawesi Tengah,69.521,60.436,"278,2",34.916,33.678,68.594,13,13,"100,00",,,,,,,,,,,,,,,,,
27,Sulawesi Selatan,81.236,56.389,"236,0",41.850,39.203,81.053,24,11,"45,83",,,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,28.257,24.973,"309,3",17.295,15.428,32.723,17,8,"47,06",,,,,,,,,,,,,,,,,
29,Gorontalo,16.326,11.912,"241,5",8.035,7.467,15.502,6,4,"66,67",,,,,,,,,,,,,,,,,
30,Sulawesi Barat,17.022,12.579,"243,9",8.820,8.424,17.244,6,5,"83,33",,,,,,,,,,,,,,,,,
31,Maluku,40.663,23.118,"227,4",26.263,24.963,51.226,11,4,"36,36",,,,,,,,,,,,,,,,,
32,Maluku Utara,32.050,31.855,"387,6",20.492,18.584,39.076,10,4,"40,00",,,,,,,,,,,,,,,,,
33,Papua Barat,19.011,14.907,"321,5",10.596,10.957,21.553,13,1,"7,69",,,,,,,,,,,,,,,,,
34,Papua,48.407,21.398,"185,7",26.909,27.233,54.142,29,0,"0,00",,,,,,,,,,,,,,,,,
Indonesia,,4.432.177,3.799.759,"3,55",2.208.312,2.168.114,4.376.426,514,331,"64,40",,,,,,,,,,,,,,,,,
No,Provinsi,Jumlah Penduduk,Jumlah Kasus,Incidence Rate per 100.000 Penduduk,Meninggal,CFR (%),,,,,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),,,,,,,,,,,,,,,,,,,,,
1,Aceh,5.459.114,366,"6,7",7,"1,91",,,,,,,,,,,,,,,,,,,,,
2,Sumatera Utara,14.954.028,2.918,"19,5",14,"0,48",,,,,,,,,,,,,,,,,,,,,
3,Sumatera Barat,5.610.859,654,"11,7",6,"0,92",,,,,,,,,,,,,,,,,,,,,
4,Riau,7.066.464,1.038,"14,7",10,"0,96",,,,,,,,,,,,,,,,,,,,,
5,Jambi,3.641.279,357,"9,8",5,"1,40",,,,,,,,,,,,,,,,,,,,,
6,Sumatera Selatan,8.702.628,1.135,"13,0",3,"0,26",,,,,,,,,,,,,,,,,,,,,
7,Bengkulu,2.016.437,628,"31,1",1,"0,16",,,,,,,,,,,,,,,,,,,,,
8,Lampung,8.609.884,2.271,"26,4",8,"0,35",,,,,,,,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,1.488.245,864,"58,1",20,"2,31",,,,,,,,,,,,,,,,,,,,,
10,Kepulauan Riau,2.378.795,1.925,"80,9",17,"0,88",,,,,,,,,,,,,,,,,,,,,
11,DKI Jakarta,10.645.542,3.092,"29,0",0,"0,00",,,,,,,,,,,,,,,,,,,,,
12,Jawa Barat,50.103.251,23.959,"47,8",212,"0,88",,,,,,,,,,,,,,,,,,,,,
13,Jawa Tengah,34.917.040,4.468,"12,8",121,"2,71",,,,,,,,,,,,,,,,,,,,,
14,DI Yogyakarta,3.970.220,1.186,"29,9",12,"1,01",,,,,,,,,,,,,,,,,,,,,
15,Jawa Timur,40.156.672,6.760,"16,8",72,"1,07",,,,,,,,,,,,,,,,,,,,,
16,Banten,13.074.189,2.136,"16,3",16,"0,75",,,,,,,,,,,,,,,,,,,,,
17,Bali,4.466.595,2.673,"59,8",4,"0,15",,,,,,,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,5.298.471,2.697,"50,9",21,"0,78",,,,,,,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,5.588.744,2.538,"45,4",14,"0,55",,,,,,,,,,,,,,,,,,,,,
20,Kalimantan Barat,5.162.937,664,"12,9",4,"0,60",,,,,,,,,,,,,,,,,,,,,
21,Kalimantan Tengah,2.722.168,189,"6,9",0,"0,00",,,,,,,,,,,,,,,,,,,,,
22,Kalimantan Selatan,4.319.794,176,"4,1",0,"0,00",,,,,,,,,,,,,,,,,,,,,
23,Kalimantan Timur,3.708.936,2.898,"78,1",23,"0,79",,,,,,,,,,,,,,,,,,,,,
24,Kalimantan Utara,721.181,172,"23,8",4,"2,33",,,,,,,,,,,,,,,,,,,,,
25,Sulawesi Utara,2.530.967,1.196,"47,3",32,"2,68",,,,,,,,,,,,,,,,,,,,,
26,Sulawesi Tengah,3.120.863,671,"21,5",5,"0,75",,,,,,,,,,,,,,,,,,,,,
27,Sulawesi Selatan,8.956.181,3.585,"40,0",35,"0,98",,,,,,,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,2.743.155,674,"24,6",8,"1,19",,,,,,,,,,,,,,,,,,,,,
29,Gorontalo,1.195.883,557,"46,6",15,"2,69",,,,,,,,,,,,,,,,,,,,,
30,Sulawesi Barat,1.396.749,339,"24,3",6,"1,77",,,,,,,,,,,,,,,,,,,,,
31,Maluku,1.805.376,169,"9,4",3,"1,78",,,,,,,,,,,,,,,,,,,,,
32,Maluku Utara,1.268.866,318,"25,1",7,"2,20",,,,,,,,,,,,,,,,,,,,,
33,Papua Barat,1.008.698,147,"14,6",0,"0,00",,,,,,,,,,,,,,,,,,,,,
34,Papua,3.438.243,98,"2,9",0,"0,00",,,,,,,,,,,,,,,,,,,,,
Indonesia,,272.248.454,73.518,"27,0",705,"0,96",,,,,,,,,,,,,,,,,,,,,
No,Provinsi,Penduduk,Malaria,,,,,,,,,,,,,,,,,,,,,,,,
,,,Suspek,Konfirmasi Laboratorium,,,% Konfirmasi Laboratorium,Positif,,,Pengobatan Standar,% Pengobatan Standar,Annual Paracite Incidence (API) per 1.000 Penduduk,,,,,,,,,,,,,,
,,,,Mikroskopis,Rapid Diagnostic Test (RDT),Total,,L,P,L+P,,,,,,,,,,,,,,,,,
(1),(2),(3),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),,,,,,,,,,,,,,
1,Aceh,5.459.114,24.622,18.860,5.035,23.895,"97,0",313,11,324,324,"100,0","0,06",,,,,,,,,,,,,,
2,Sumatera Utara,14.954.028,20.770,10.735,8.143,18.878,"90,9",1.568,963,2.531,2.504,"98,9","0,17",,,,,,,,,,,,,,
3,Sumatera Barat,5.610.859,11.980,3.119,7.176,10.295,"85,9",45,27,72,72,"100,0","0,01",,,,,,,,,,,,,,
4,Riau,7.066.464,4.184,416,3.655,4.071,"97,3",552,345,897,897,"100,0","0,13",,,,,,,,,,,,,,
5,Jambi,3.641.279,30.516,12.514,15.372,27.886,"91,4",30,9,39,39,"100,0","0,01",,,,,,,,,,,,,,
6,Sumatera Selatan,8.702.628,17.684,9.898,7.393,17.291,"97,8",24,1,25,25,"100,0","0,00",,,,,,,,,,,,,,
7,Bengkulu,2.016.437,8.501,4.415,3.735,8.150,"95,9",1,1,2,2,"100,0","0,00",,,,,,,,,,,,,,
8,Lampung,8.609.884,29.404,15.779,12.690,28.469,"96,8",343,214,557,557,"100,0","0,06",,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,1.488.245,14.632,9.929,3.266,13.195,"90,2",76,28,104,101,"97,1","0,07",,,,,,,,,,,,,,
10,Kepulauan Riau,2.378.795,3.061,929,2.132,3.061,"100,0",24,15,39,38,"97,4","0,02",,,,,,,,,,,,,,
11,DKI Jakarta,10.645.542,315,114,193,307,"97,5",103,12,115,114,"99,1","0,01",,,,,,,,,,,,,,
12,Jawa Barat,50.103.251,16.513,10.514,3.244,13.758,"83,3",237,10,247,245,"99,2","0,00",,,,,,,,,,,,,,
13,Jawa Tengah,34.917.040,30.313,28.809,880,29.689,"97,9",510,295,805,805,"100,0","0,02",,,,,,,,,,,,,,
14,DI Yogyakarta,3.970.220,14.275,13.752,126,13.878,"97,2",18,7,25,24,"96,0","0,01",,,,,,,,,,,,,,
15,Jawa Timur,40.156.672,8.444,7.022,1.267,8.289,"98,2",199,13,212,212,"100,0","0,01",,,,,,,,,,,,,,
16,Banten,13.074.189,1.547,135,1.128,1.263,"81,6",20,3,23,15,"65,2","0,00",,,,,,,,,,,,,,
17,Bali,4.466.595,6.013,5.857,58,5.915,"98,4",24,9,33,24,"72,7","0,01",,,,,,,,,,,,,,
18,Nusa Tenggara Barat,5.298.471,98.182,71.216,11.097,82.313,"83,8",297,70,367,359,"97,8","0,07",,,,,,,,,,,,,,
19,Nusa Tenggara Timur,5.588.744,514.658,338.901,163.897,502.798,"97,7",5.270,4.149,9.419,9.397,"99,8","1,69",,,,,,,,,,,,,,
20,Kalimantan Barat,5.162.937,36.533,23.024,9.796,32.820,"89,8",14,3,17,13,"76,5","0,00",,,,,,,,,,,,,,
21,Kalimantan Tengah,2.722.168,11.451,5.936,5.441,11.377,"99,4",148,23,171,167,"97,7","0,06",,,,,,,,,,,,,,
22,Kalimantan Selatan,4.319.794,19.327,13.116,4.808,17.924,"92,7",268,27,295,293,"99,3","0,07",,,,,,,,,,,,,,
23,Kalimantan Timur,3.708.936,14.354,8.074,5.982,14.056,"97,9",2.069,180,2.249,2.038,"90,6","0,61",,,,,,,,,,,,,,
24,Kalimantan Utara,721.181,2.213,375,1.403,1.778,"80,3",31,2,33,18,"54,5","0,05",,,,,,,,,,,,,,
25,Sulawesi Utara,2.530.967,14.552,7.406,4.463,11.869,"81,6",483,230,713,682,"95,7","0,28",,,,,,,,,,,,,,
26,Sulawesi Tengah,3.120.863,19.527,5.837,12.089,17.926,"91,8",43,13,56,54,"96,4","0,02",,,,,,,,,,,,,,
27,Sulawesi Selatan,8.956.181,17.728,8.490,8.546,17.036,"96,1",756,180,936,914,"97,6","0,10",,,,,,,,,,,,,,
28,Sulawesi Tenggara,2.743.155,16.405,7.535,8.506,16.041,"97,8",284,67,351,349,"99,4","0,13",,,,,,,,,,,,,,
29,Gorontalo,1.195.883,17.009,6.025,10.505,16.530,"97,2",47,2,49,49,"100,0","0,04",,,,,,,,,,,,,,
30,Sulawesi Barat,1.396.749,13.373,5.786,7.129,12.915,"96,6",90,3,93,93,"100,0","0,07",,,,,,,,,,,,,,
31,Maluku,1.805.376,57.268,38.666,15.047,53.713,"93,8",483,326,809,793,"98,0","0,45",,,,,,,,,,,,,,
32,Maluku Utara,1.268.866,20.968,12.419,6.762,19.181,"91,5",88,40,128,128,"100,0","0,10",,,,,,,,,,,,,,
33,Papua Barat,1.008.698,139.623,78.827,47.836,126.663,"90,7",4.541,3.087,7.628,7.582,"99,4","7,56",,,,,,,,,,,,,,
34,Papua,3.438.243,872.826,615.253,241.809,857.062,"98,2",153.231,122.012,275.243,270.221,"98,2","80,05",,,,,,,,,,,,,,
Indonesia,,272.248.454,2.128.771,1.399.683,640.609,2.040.292,"95,8",172.230,132.377,304.607,299.148,"98,2","1,12",,,,,,,,,,,,,,
No,Provinsi,Penderita Kronis Filariasis,,,,,,,,,,,,,,,,,,,,,,,,,
,,Kasus Kronis TAHUN Sebelumnya,Kasus Kronis Baru Ditemukan,Kasus Kronis Pindah,Kasus Kronis Meninggal,Jumlah Seluruh Kasus Kronis,,,,,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(8),,,,,,,,,,,,,,,,,,,,,
1,Aceh,570,19,2,64,523,,,,,,,,,,,,,,,,,,,,,
2,Sumatera Utara,191,3,0,0,194,,,,,,,,,,,,,,,,,,,,,
3,Sumatera Barat,187,0,13,46,128,,,,,,,,,,,,,,,,,,,,,
4,Riau,136,11,5,9,133,,,,,,,,,,,,,,,,,,,,,
5,Jambi,275,4,0,64,215,,,,,,,,,,,,,,,,,,,,,
6,Sumatera Selatan,120,1,3,9,109,,,,,,,,,,,,,,,,,,,,,
7,Bengkulu,64,0,0,0,64,,,,,,,,,,,,,,,,,,,,,
8,Lampung,33,1,0,0,34,,,,,,,,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,93,7,0,0,100,,,,,,,,,,,,,,,,,,,,,
10,Kepulauan Riau,81,0,0,0,81,,,,,,,,,,,,,,,,,,,,,
11,DKI Jakarta,23,0,0,3,20,,,,,,,,,,,,,,,,,,,,,
12,Jawa Barat,641,2,22,33,588,,,,,,,,,,,,,,,,,,,,,
13,Jawa Tengah,400,29,3,21,405,,,,,,,,,,,,,,,,,,,,,
14,DI Yogyakarta,2,0,0,0,2,,,,,,,,,,,,,,,,,,,,,
15,Jawa Timur,329,0,57,31,241,,,,,,,,,,,,,,,,,,,,,
16,Banten,107,1,0,3,105,,,,,,,,,,,,,,,,,,,,,
17,Bali,2,0,0,0,2,,,,,,,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,10,0,0,0,10,,,,,,,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,1.534,57,4,280,1.307,,,,,,,,,,,,,,,,,,,,,
20,Kalimantan Barat,251,1,0,1,251,,,,,,,,,,,,,,,,,,,,,
21,Kalimantan Tengah,52,2,0,5,49,,,,,,,,,,,,,,,,,,,,,
22,Kalimantan Selatan,27,12,0,1,38,,,,,,,,,,,,,,,,,,,,,
23,Kalimantan Timur,107,5,0,0,112,,,,,,,,,,,,,,,,,,,,,
24,Kalimantan Utara,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
25,Sulawesi Utara,18,0,0,1,17,,,,,,,,,,,,,,,,,,,,,
26,Sulawesi Tengah,180,1,4,36,141,,,,,,,,,,,,,,,,,,,,,
27,Sulawesi Selatan,63,0,0,1,62,,,,,,,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,50,1,1,6,44,,,,,,,,,,,,,,,,,,,,,
29,Gorontalo,4,0,0,0,2,,,,,,,,,,,,,,,,,,,,,
30,Sulawesi Barat,55,0,0,1,54,,,,,,,,,,,,,,,,,,,,,
31,Maluku,39,12,0,2,49,,,,,,,,,,,,,,,,,,,,,
32,Maluku Utara,24,1,0,0,25,,,,,,,,,,,,,,,,,,,,,
33,Papua Barat,620,0,0,0,620,,,,,,,,,,,,,,,,,,,,,
34,Papua,3.615,14,0,0,3.629,,,,,,,,,,,,,,,,,,,,,
Indonesia,,9.906,184,114,617,9.354,,,,,,,,,,,,,,,,,,,,,
No,Provinsi,Jumlah Kabupaten/Kota,Kabupaten/Kota Menyelenggarakan UBM,,,,,,,,,,,,,,,,,,,,,,,,
,,,Jumlah,%,,,,,,,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),,,,,,,,,,,,,,,,,,,,,,,
1,Aceh,23,2,"8,7",,,,,,,,,,,,,,,,,,,,,,,
2,Sumatera Utara,33,8,"24,2",,,,,,,,,,,,,,,,,,,,,,,
3,Sumatera Barat,19,5,"26,3",,,,,,,,,,,,,,,,,,,,,,,
4,Riau,12,3,"25,0",,,,,,,,,,,,,,,,,,,,,,,
5,Jambi,11,2,"18,2",,,,,,,,,,,,,,,,,,,,,,,
6,Sumatera Selatan,17,1,"5,9",,,,,,,,,,,,,,,,,,,,,,,
7,Bengkulu,10,0,"0,0",,,,,,,,,,,,,,,,,,,,,,,
8,Lampung,15,1,"6,7",,,,,,,,,,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,7,2,"28,6",,,,,,,,,,,,,,,,,,,,,,,
10,Kepulauan Riau,7,3,"42,9",,,,,,,,,,,,,,,,,,,,,,,
11,DKI Jakarta,6,1,"16,7",,,,,,,,,,,,,,,,,,,,,,,
12,Jawa Barat,27,1,"3,7",,,,,,,,,,,,,,,,,,,,,,,
13,Jawa Tengah,35,6,"17,1",,,,,,,,,,,,,,,,,,,,,,,
14,DI Yogyakarta,5,0,"0,0",,,,,,,,,,,,,,,,,,,,,,,
15,Jawa Timur,38,0,"0,0",,,,,,,,,,,,,,,,,,,,,,,
16,Banten,8,3,"37,5",,,,,,,,,,,,,,,,,,,,,,,
17,Bali,9,1,"11,1",,,,,,,,,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,10,4,"40,0",,,,,,,,,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,22,9,"40,9",,,,,,,,,,,,,,,,,,,,,,,
20,Kalimantan Barat,14,1,"7,1",,,,,,,,,,,,,,,,,,,,,,,
21,Kalimantan Tengah,14,0,"0,0",,,,,,,,,,,,,,,,,,,,,,,
22,Kalimantan Selatan,13,2,"15,4",,,,,,,,,,,,,,,,,,,,,,,
23,Kalimantan Timur,10,1,"10,0",,,,,,,,,,,,,,,,,,,,,,,
24,Kalimantan Utara,5,3,"60,0",,,,,,,,,,,,,,,,,,,,,,,
25,Sulawesi Utara,15,1,"6,7",,,,,,,,,,,,,,,,,,,,,,,
26,Sulawesi Tengah,13,5,"38,5",,,,,,,,,,,,,,,,,,,,,,,
27,Sulawesi Selatan,24,2,"8,3",,,,,,,,,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,17,0,"0,0",,,,,,,,,,,,,,,,,,,,,,,
29,Gorontalo,6,2,"33,3",,,,,,,,,,,,,,,,,,,,,,,
30,Sulawesi Barat,6,3,"50,0",,,,,,,,,,,,,,,,,,,,,,,
31,Maluku,11,0,"0,0",,,,,,,,,,,,,,,,,,,,,,,
32,Maluku Utara,10,1,"10,0",,,,,,,,,,,,,,,,,,,,,,,
33,Papua Barat,13,0,"0,0",,,,,,,,,,,,,,,,,,,,,,,
34,Papua,29,1,"3,4",,,,,,,,,,,,,,,,,,,,,,,
Indonesia,,514,74,"14,4",,,,,,,,,,,,,,,,,,,,,,,
No,Provinsi,Jumlah Kabupaten/Kota,Kabupaten/Kota Melakukan Pelayanan PANDU,,,,,,,,,,,,,,,,,,,,,,,,
,,,Jumlah,%,,,,,,,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),,,,,,,,,,,,,,,,,,,,,,,
1,Aceh,23,10,"43,5",,,,,,,,,,,,,,,,,,,,,,,
2,Sumatera Utara,33,4,"12,1",,,,,,,,,,,,,,,,,,,,,,,
3,Sumatera Barat,19,8,"42,1",,,,,,,,,,,,,,,,,,,,,,,
4,Riau,12,3,"25,0",,,,,,,,,,,,,,,,,,,,,,,
5,Jambi,11,1,"9,1",,,,,,,,,,,,,,,,,,,,,,,
6,Sumatera Selatan,17,13,"76,5",,,,,,,,,,,,,,,,,,,,,,,
7,Bengkulu,10,8,"80,0",,,,,,,,,,,,,,,,,,,,,,,
8,Lampung,15,13,"86,7",,,,,,,,,,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,7,6,"85,7",,,,,,,,,,,,,,,,,,,,,,,
10,Kepulauan Riau,7,3,"42,9",,,,,,,,,,,,,,,,,,,,,,,
11,DKI Jakarta,6,3,"50,0",,,,,,,,,,,,,,,,,,,,,,,
12,Jawa Barat,27,9,"33,3",,,,,,,,,,,,,,,,,,,,,,,
13,Jawa Tengah,35,8,"22,9",,,,,,,,,,,,,,,,,,,,,,,
14,Di Yogyakarta,5,1,"20,0",,,,,,,,,,,,,,,,,,,,,,,
15,Jawa Timur,38,14,"36,8",,,,,,,,,,,,,,,,,,,,,,,
16,Banten,8,0,"0,0",,,,,,,,,,,,,,,,,,,,,,,
17,Bali,9,4,"44,4",,,,,,,,,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,10,6,"60,0",,,,,,,,,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,22,7,"31,8",,,,,,,,,,,,,,,,,,,,,,,
20,Kalimantan Barat,14,7,"50,0",,,,,,,,,,,,,,,,,,,,,,,
21,Kalimantan Tengah,14,5,"35,7",,,,,,,,,,,,,,,,,,,,,,,
22,Kalimantan Selatan,13,1,"7,7",,,,,,,,,,,,,,,,,,,,,,,
23,Kalimantan Timur,10,2,"20,0",,,,,,,,,,,,,,,,,,,,,,,
24,Kalimantan Utara,5,2,"40,0",,,,,,,,,,,,,,,,,,,,,,,
25,Sulawesi Utara,15,0,"0,0",,,,,,,,,,,,,,,,,,,,,,,
26,Sulawesi Tengah,13,1,"7,7",,,,,,,,,,,,,,,,,,,,,,,
27,Sulawesi Selatan,24,15,"62,5",,,,,,,,,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,17,8,"47,1",,,,,,,,,,,,,,,,,,,,,,,
29,Gorontalo,6,2,"33,3",,,,,,,,,,,,,,,,,,,,,,,
30,Sulawesi Barat,6,2,"33,3",,,,,,,,,,,,,,,,,,,,,,,
31,Maluku,11,2,"18,2",,,,,,,,,,,,,,,,,,,,,,,
32,Maluku Utara,10,0,"0,0",,,,,,,,,,,,,,,,,,,,,,,
33,Papua Barat,13,0,"0,0",,,,,,,,,,,,,,,,,,,,,,,
34,Papua,29,0,"0,0",,,,,,,,,,,,,,,,,,,,,,,
Indonesia,,514,168,"32,7",,,,,,,,,,,,,,,,,,,,,,,
No,Provinsi,TFU Terdaftar,,,,TFU Yang Dilakukan Pengawasan Sesuai Standar,,,,,,,,,,,,,,,,,,,,,
,,Sarana Pendidikan (SD/MI dan SMP/MTs),Pasar,Puskesmas,Jumlah TFU Terdaftar,Sarana Pendidikan (SD/MI dan SMP/MTs),,Pasar,,Puskesmas,,Jumlah Total,,,,,,,,,,,,,,,
,,,,,,∑,%,∑,%,∑,%,∑,%,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),,,,,,,,,,,,,,
1,Aceh,501,45,101,647,93,"18,6",30,"66,7",32,"31,7",155,"24,0",,,,,,,,,,,,,,
2,Sumatera Utara,1.824,122,205,2151,734,"40,2",56,"45,9",108,"52,7",898,"41,7",,,,,,,,,,,,,,
3,Sumatera Barat,2.934,215,198,3347,2.259,"77,0",160,"74,4",143,"72,2",2.562,"76,5",,,,,,,,,,,,,,
4,Riau,2.707,258,179,3144,1.831,"67,6",151,"58,5",96,"53,6",2.078,"66,1",,,,,,,,,,,,,,
5,Jambi,1.687,124,190,2001,674,"40,0",68,"54,8",154,"81,1",896,"44,8",,,,,,,,,,,,,,
6,Sumatera Selatan,1.054,126,93,1273,276,"26,2",60,"47,6",29,"31,2",365,"28,7",,,,,,,,,,,,,,
7,Bengkulu,1.890,146,164,2200,1.578,"83,5",135,"92,5",142,"86,6",1.855,"84,3",,,,,,,,,,,,,,
8,Lampung,1.298,161,111,1570,446,"34,4",68,"42,2",33,"29,7",547,"34,8",,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,712,33,36,781,494,"69,4",30,"90,9",23,"63,9",547,"70,0",,,,,,,,,,,,,,
10,Kepulauan Riau,549,16,36,601,126,"23,0",7,"43,8",8,"22,2",141,"23,5",,,,,,,,,,,,,,
11,DKI Jakarta,2.380,113,220,2713,1810,"76,1",89,"78,8",159,"72,3",2.058,"75,9",,,,,,,,,,,,,,
12,Jawa Barat,4.899,273,592,5764,2.361,"48,2",107,"39,2",333,"56,3",2.801,"48,6",,,,,,,,,,,,,,
13,Jawa Tengah,9.609,682,702,10993,7.289,"75,9",422,"61,9",485,"69,1",8.196,"74,6",,,,,,,,,,,,,,
14,DI Yogyakarta,1.601,99,87,1787,278,"17,4",15,"15,2",11,"12,6",304,"17,0",,,,,,,,,,,,,,
15,Jawa Timur,12.325,682,716,13723,7.970,"64,7",348,"51,0",503,"70,3",8.821,"64,3",,,,,,,,,,,,,,
