,,Targe,t Renstra 20,19 : 90%,,,,,,,,,,,,,,,,,,,,,,,
20,Kalimantan Barat,5.069.127,47.478,20.973,"44,2",5.982,"64,1",3.352,"35,9",9.334,184,17.212,"54,2",1.131,"54,8",,,,,,,,,,,,
21,Kalimantan Tengah,2.714.859,30.410,12.825,"42,2",2.372,"61,9",1.461,"38,1",3.833,141,9.369,"40,9",286,"25,4",,,,,,,,,,,,
22,Kalimantan Selatan,4.244.096,58.659,32.307,"55,1",4.180,"60,5",2.724,"39,5",6.904,163,15.069,"45,8",750,"41,5",,,,,,,,,,,,
23,Kalimantan Timur,3.721.389,57.878,38.427,"66,4",4.462,"57,7",3.268,"42,3",7.730,208,14.442,"53,5",964,"55,6",,,,,,,,,,,,
24,Kalimantan Utara,742.245,13.455,7.225,"53,7",1.097,"61,6",684,"38,4",1.781,240,2.768,"64,3",332,"99,9",,,,,,,,,,,,
25,Sulawesi Utara,2.506.981,45.412,32.288,"71,1",5.245,"63,7",2.988,"36,3",8.233,328,9.521,"86,5",180,"15,8",,,,,,,,,,,,
26,Sulawesi Tengah,3.054.023,44.122,41.708,"94,5",3.572,"62,2",2.175,"37,8",5.747,188,10.207,"56,3",214,"17,5",,,,,,,,,,,,
27,Sulawesi Selatan,8.851.240,146.856,39.927,"27,2",11.495,"58,7",8.073,"41,3",19.568,221,30.985,"63,2",1.102,"29,6",,,,,,,,,,,,
28,Sulawesi Tenggara,2.704.737,30.720,27.832,"90,6",2.650,"61,6",1.655,"38,4",4.305,159,8.992,"47,9",141,"13,1",,,,,,,,,,,,
29,Gorontalo,1.202.631,17.255,6.034,"35,0",2.336,"57,4",1.731,"42,6",4.067,338,4.301,"94,6",173,"33,5",,,,,,,,,,,,
30,Sulawesi Barat,1.380.256,17.329,14.648,"84,5",1.599,"57,5",1.184,"42,5",2.783,202,4.440,"62,7",107,"20,1",,,,,,,,,,,,
31,Maluku,1.802.870,31.974,12.601,"39,4",2.528,"57,8",1.846,"42,2",4.374,243,6.579,"66,5",346,"43,8",,,,,,,,,,,,
32,Maluku Utara,1.255.771,14.871,5.581,"37,5",1.299,"59,0",904,"41,0",2.203,175,4.188,"52,6",117,"23,3",,,,,,,,,,,,
33,Papua Barat,959.617,14.823,6.809,"45,9",1.538,"55,8",1.219,"44,2",2.757,287,6.509,"42,4",304,"38,9",,,,,,,,,,,,
34,Papua,3.379.302,89.947,35.814,"39,8",6.509,"54,3",5.482,"45,7",11.991,355,18.508,"64,8",2.861,"128,8",,,,,,,,,,,,
Indonesia,,268.074.565,3.414.150,1.769.449,"51,8",313.642,"57,7",230.232,"42,3",543.874,203,843.000,"64,5",63.111,"62,4",,,,,,,,,,,,
No,Provinsi,Jumlah Kasus Tuberkulosis Paru Terkonfirmasi Bakteriologis Yang Terdaftar dan Diobati*),,,Jumlah Semua Kasus Tuberkulosis Terdaftar Dan Diobati*),,,Angka Kesembuhan (Cure Rate) Tuberkulosis Paru Terkonfirmasi Bakteriologis,,,,,,Angka Pengobatan Lengkap (Complete Rate) Semua Kasus Tuberkulosis,,,,,,Angka Keberhasilan Pengobatan (Success Rate/SR) Semua Kasus Tuberkulosis,,,,,,Jumlah Kematian Selama Pengobatan Tuberkulosis,
,,,,,,,,Laki-laki,,Perempuan,,Laki-laki + Perempuan,,Laki-laki,,Perempuan,,Laki-laki + Perempuan,,Laki-laki,,Perempuan,,Laki-laki + Perempuan,,,
,,L,P,L + P,L,P,L + P,Jumlah,%,Jumlah,%,Jumlah,%,Jumlah,%,Jumlah,%,Jumlah,%,Jumlah,%,Jumlah,%,Jumlah,%,Jumlah,%
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26),(27),(28)
1,Aceh,2.442,1.153,3.595,5.210,2.906,8.116,1.753,"71,8",852,"73,9",2.605,"72,5",2.854,"54,8",1.800,"61,9",4.654,"57,3",4.607,"88,4",2.652,"91,3",7.259,"89,4",119,"1,5"
2,Sumatera Utara,10.489,5.443,15.932,18.439,10.132,28.571,7.512,"71,6",3.895,"71,6",11.407,"71,6",9.451,"51,3",5.528,"54,6",14.979,"52,4",16.963,"92,0",9.423,"93,0",26.386,"92,4",554,"1,9"
3,Sumatera Barat,3.531,1.712,5.243,6.508,3.723,10.231,2.636,"74,7",1.291,"75,4",3.927,"74,9",3.039,"46,7",2.028,"54,5",5.067,"49,5",5.675,"87,2",3.319,"89,1",8.994,"87,9",278,"2,7"
4,Riau,3.853,1.960,5.813,7.272,4.278,11.550,2.416,"62,7",1.223,"62,4",3.639,"62,6",3.923,"53,9",2.547,"59,5",6.470,"56,0",6.339,"87,2",3.770,"88,1",10.109,"87,5",243,"2,1"
5,Jambi,1.917,1.094,3.011,2.502,1.563,4.065,1.679,"87,6",954,"87,2",2.633,"87,4",566,"22,6",457,"29,2",1.023,"25,2",2.245,"89,7",1.411,"90,3",3.656,"89,9",71,"1,7"
6,Sumatera Selatan,5.472,3.246,8.718,10.311,6.458,16.769,3.867,"70,7",2.374,"73,1",6.241,"71,6",5.546,"53,8",3.676,"56,9",9.222,"55,0",9.413,"91,3",6.050,"93,7",15.463,"92,2",238,"1,4"
7,Bengkulu,1.085,607,1.692,2.115,1.358,3.473,856,"78,9",470,"77,4",1.326,"78,4",728,"34,4",518,"38,1",1.246,"35,9",1.584,"74,9",988,"72,8",2.572,"74,1",74,"2,1"
8,Lampung,5.400,3.757,9.157,8.589,6.303,14.892,5.174,"95,8",3.602,"95,9",8.776,"95,8",3.158,"36,8",2.554,"40,5",5.712,"38,4",8.332,"97,0",6.156,"97,7",14.488,"97,3",237,"1,6"
9,Kep. Bangka Belitung,695,403,1.098,1.170,762,1.932,549,"79,0",318,"78,9",867,"79,0",493,"42,1",368,"48,3",861,"44,6",1.042,"89,1",686,"90,0",1.728,"89,4",103,"5,3"
10,Kepulauan Riau,1.231,729,1.960,2.581,1.772,4.353,842,"68,4",531,"72,8",1.373,"70,1",1.379,"53,4",1.063,"60,0",2.442,"56,1",2.221,"86,1",1.594,"90,0",3.815,"87,6",153,"3,5"
11,DKI Jakarta,10.110,6.624,16.734,21.093,15.973,37.066,6.342,"62,7",4.203,"63,5",10.545,"63,0",10.750,"51,0",9.108,"57,0",19.858,"53,6",17.092,"81,0",13.311,"83,3",30.403,"82,0",674,"1,8"
12,Jawa Barat,22.103,15.777,37.880,51.810,41.739,93.549,15.461,"69,9",11.467,"72,7",26.928,"71,1",28.502,"55,0",24.779,"59,4",53.281,"57,0",43.963,"84,9",36.246,"86,8",80.209,"85,7",1.514,"1,6"
13,Jawa Tengah,13.698,10.055,23.753,28.830,23.332,52.162,9.760,"71,3",7.565,"75,2",17.325,"72,9",14.401,"50,0",12.677,"54,3",27.078,"51,9",24.161,"83,8",20.242,"86,8",44.403,"85,1",1.444,"2,8"
14,DI Yogyakarta,918,670,1.588,2.138,1.677,3.815,689,"75,1",535,"79,9",1.224,"77,1",1.067,"49,9",924,"55,1",1.991,"52,2",1.756,"82,1",1.459,"87,0",3.215,"84,3",270,"7,1"
15,Jawa Timur,16.223,11.702,27.925,31.945,25.769,57.714,12.735,"78,5",9.536,"81,5",22.271,"79,8",15.547,"48,7",14.132,"54,8",29.679,"51,4",28.282,"88,5",23.668,"91,8",51.950,"90,0",2.201,"3,8"
16,Banten,5.967,3.772,9.739,13.375,9.906,23.281,4.329,"72,5",2.845,"75,4",7.174,"73,7",7.812,"58,4",6.334,"63,9",14.146,"60,8",12.141,"90,8",9.179,"92,7",21.320,"91,6",438,"1,9"
17,Bali,1.228,718,1.946,2.142,1.471,3.613,899,"73,2",549,"76,5",1.448,"74,4",1.002,"46,8",781,"53,1",1.783,"49,3",1.901,"88,7",1.330,"90,4",3.231,"89,4",271,"7,5"
18,Nusa Tenggara Barat,2.580,1.537,4.117,4.046,2.518,6.564,2.306,"89,4",1.405,"91,4",3.711,"90,1",1.476,"36,5",980,"38,9",2.456,"37,4",3.782,"93,5",2.385,"94,7",6.167,"94,0",250,"3,8"
19,Nusa Tenggara Timur,2.250,1.560,3.810,4.209,3.195,7.404,1.577,"70,1",1.140,"73,1",2.717,"71,3",1.906,"45,3",1.550,"48,5",3.456,"46,7",3.483,"82,8",2.690,"84,2",6.173,"83,4",174,"2,4"
20,Kalimantan Barat,3.043,1.622,4.665,5.107,2.955,8.062,2.477,"81,4",1.290,"79,5",3.767,"80,8",1.948,"38,1",1.224,"41,4",3.172,"39,3",4.425,"86,6",2.514,"85,1",6.939,"86,1",158,"2,0"
21,Kalimantan Tengah,1.250,671,1.921,2.314,1.290,3.604,892,"71,4",506,"75,4",1.398,"72,8",1.023,"44,2",592,"45,9",1.615,"44,8",1.915,"82,8",1.098,"85,1",3.013,"83,6",103,"2,9"
22,Kalimantan Selatan,2.538,1.381,3.919,4.774,2.959,7.733,1.778,"70,1",1.000,"72,4",2.778,"70,9",2.219,"46,5",1.551,"52,4",3.770,"48,8",3.997,"83,7",2.551,"86,2",6.548,"84,7",271,"3,5"
23,Kalimantan Timur,2.035,1.295,3.330,3.951,2.788,6.739,1.710,"84,0",1.127,"87,0",2.837,"85,2",1.967,"49,8",1.525,"54,7",3.492,"51,8",3.677,"93,1",2.652,"95,1",6.329,"93,9",203,"3,0"
24,Kalimantan Utara,522,315,837,928,640,1.568,251,"48,1",176,"55,9",427,"51,0",422,"45,5",338,"52,8",760,"48,5",673,"72,5",514,"80,3",1.187,"75,7",73,"4,7"
25,Sulawesi Utara,3.234,1.911,5.145,4.129,2.490,6.619,2.339,"72,3",1.408,"73,7",3.747,"72,8",1.052,"25,5",666,"26,7",1.718,"26,0",3.391,"82,1",2.074,"83,3",5.465,"82,6",130,"2,0"
26,Sulawesi Tengah,1.779,1.015,2.794,3.191,1.948,5.139,1.297,"72,9",747,"73,6",2.044,"73,2",1.619,"50,7",1.061,"54,5",2.680,"52,2",2.916,"91,4",1.808,"92,8",4.724,"91,9",176,"3,4"
27,Sulawesi Selatan,5.494,3.786,9.280,10.614,7.579,18.193,3.918,"71,3",2.857,"75,5",6.775,"73,0",5.267,"49,6",3.890,"51,3",9.157,"50,3",9.185,"86,5",6.747,"89,0",15.932,"87,6",707,"3,9"
28,Sulawesi Tenggara,1.960,1.316,3.276,2.808,1.877,4.685,1.434,"73,2",996,"75,7",2.430,"74,2",831,"29,6",567,"30,2",1.398,"29,8",2.265,"80,7",1.563,"83,3",3.828,"81,7",131,"2,8"
29,Gorontalo,1.628,1.219,2.847,2.148,1.644,3.792,1.330,"81,7",983,"80,6",2.313,"81,2",496,"23,1",397,"24,1",893,"23,5",1.826,"85,0",1.380,"83,9",3.206,"84,5",28,"0,7"
30,Sulawesi Barat,958,649,1.607,1.274,884,2.158,725,"75,7",515,"79,4",1.240,"77,2",431,"33,8",304,"34,4",735,"34,1",1.156,"90,7",819,"92,6",1.975,"91,5",89,"4,1"
31,Maluku,1.229,952,2.181,2.511,2.104,4.615,648,"52,7",517,"54,3",1.165,"53,4",809,"32,2",734,"34,9",1.543,"33,4",1.457,"58,0",1.251,"59,5",2.708,"58,7",70,"1,5"
32,Maluku Utara,862,555,1.417,1.238,837,2.075,389,"45,1",246,"44,3",635,"44,8",626,"50,6",474,"56,6",1.100,"53,0",1.015,"82,0",720,"86,0",1.735,"83,6",111,"5,3"
33,Papua Barat,582,511,1.093,1.214,1.094,2.308,127,"21,8",123,"24,1",250,"22,9",369,"30,4",338,"30,9",707,"30,6",496,"40,9",461,"42,1",957,"41,5",54,"2,3"
34,Papua,2.571,1.968,4.539,6.219,5.299,11.518,1.216,"47,3",1.020,"51,8",2.236,"49,3",2.967,"47,7",2.708,"51,1",5.675,"49,3",4.183,"67,3",3.728,"70,4",7.911,"68,7",383,"3,3"
Indonesia,,140.877,91.685,232.562,276.705,201.223,477.928,101.913,"72,3",68.266,"74,5",170.179,"73,2",135.646,"49,0",108.173,"53,8",243.819,"51,0",237.559,"85,9",176.439,"87,7",413.998,"86,6",11.993,"2,5"
No,Provinsi,Jumlah Balita,Prevalensi Pneumonia Pada Balita (%),Perkiraan Pneumonia Balita,Realisasi Penemuan Penderita Pneumonia Pada Balita,,,,,,,,,,,,,,,,,,,,,,
,,,,,Pneumonia,,,,Pneumonia Berat,,,,Jumlah,,,%,Jumlah Kematian Balita Karena Pneumonia,,,,Total,,,CFR (%),,,
,,,,,< 1 Tahun,,1-4 Tahun,,< 1 Tahun,,1-4 Tahun,,L,P,L+P,,< 1 Tahun,,1-4 Tahun,,L,P,L+P,,,,
,,,,,L,P,L,P,L,P,L,P,,,,,L,P,L,P,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25),,,
1,Aceh,488.041,"4,46",21.767,448,372,1.326,1.015,19,14,45,26,1.838,1.427,3.265,"15,0",9,6,0,0,9,6,15,"0,46",,,
2,Sumatera Utara,1.401.611,"2,99",41.908,1.416,1.214,1.968,1.785,102,48,60,32,3.546,3.079,6.625,"15,8",5,4,0,0,5,4,9,"0,14",,,
3,Sumatera Barat,531.634,"3,91",20.787,1.521,1.207,3.807,3.274,98,64,118,117,5.544,4.662,10.206,"49,1",0,2,0,0,0,2,2,"0,02",,,
4,Riau,661.443,"2,67",17.661,591,447,1.718,1.366,33,38,42,37,2.384,1.888,4.272,"24,2",0,0,0,0,0,0,0,"0,00",,,
5,Jambi,360.052,"3,15",11.342,464,384,1.397,1.105,56,34,49,36,1.966,1.559,3.525,"31,1",0,1,1,0,1,1,2,"0,06",,,
6,Sumatera Selatan,874.326,"3,61",31.563,1.742,1.670,3.765,3.255,107,54,46,43,5.660,5.022,10.682,"33,8",0,0,2,1,2,1,3,"0,03",,,
7,Bengkulu,214.665,"2,00",4.293,115,88,159,164,2,3,9,10,285,265,550,"12,8",0,1,1,0,1,1,2,"0,36",,,
8,Lampung,833.292,"2,23",18.582,1.320,1.340,3.416,2.859,167,141,170,126,5.073,4.466,9.539,"51,3",1,3,1,0,2,3,5,"0,05",,,
9,Kep. Bangka Belitung,137.287,"6,05",8.306,546,413,1.671,1.440,6,5,29,15,2.252,1.873,4.125,"49,7",0,0,0,0,0,0,0,"0,00",,,
10,Kepulauan Riau,137.287,"3,98",5.464,686,230,587,462,8,4,16,19,1.297,715,2.012,"36,8",0,0,1,0,1,0,1,"0,05",,,
11,DKI Jakarta,1.045.731,"4,24",44.339,8.709,7.048,15.892,13.914,260,118,229,184,25.090,21.264,46.354,"104,5",1,0,0,0,1,0,1,"0,00",,,
12,Jawa Barat,4.806.324,"4,62",222.052,19.030,16.949,34.812,30.847,1.117,705,799,607,55.758,49.108,104.866,"47,2",10,5,4,5,14,10,24,"0,02",,,
13,Jawa Tengah,2.652.751,"3,61",95.764,7.503,6.352,18.634,16.120,442,315,496,401,27.075,23.188,50.263,"52,5",0,0,0,0,0,0,0,"0,00",,,
14,DI Yogyakarta,282.671,"4,32",12.211,1.455,908,2.392,1.857,56,58,97,89,4.000,2.912,6.912,"56,6",7,6,0,2,7,8,15,"0,22",,,
15,Jawa Timur,3.928.277,"4,45",174.808,11.544,11.286,33.559,31.380,642,238,389,323,46.134,43.227,89.361,"51,1",12,8,6,9,18,17,35,"0,04",,,
16,Banten,1.180.349,"4,12",48.630,6.072,5.755,11.934,10.832,202,139,102,115,18.310,16.841,35.151,"72,3",9,5,2,1,11,6,17,"0,05",,,
17,Bali,428.097,"2,05",8.776,1.061,639,1.963,1.366,18,16,17,16,3.059,2.037,5.096,"58,1",4,13,2,4,6,17,23,"0,45",,,
18,Nusa Tenggara Barat,504.214,"6,38",32.169,4.571,3.729,6.378,5.568,369,238,316,239,11.634,9.774,21.408,"66,5",7,1,0,1,7,2,9,"0,04",,,
19,Nusa Tenggara Timur,537.337,"4,28",22.998,1.288,984,1.491,1.261,298,295,461,542,3.538,3.082,6.620,"28,8",1,2,9,10,10,12,22,"0,33",,,
20,Kalimantan Barat,469.747,"2,12",9.959,381,242,555,465,24,11,13,18,973,736,1.709,"17,2",0,0,0,0,0,0,0,"0,00",,,
21,Kalimantan Tengah,269.018,"4,37",11.756,224,156,386,285,15,21,18,28,643,490,1.133,"9,6",2,1,0,0,2,1,3,"0,26",,,
22,Kalimantan Selatan,414.260,"5,53",22.909,2.105,1.574,4.635,3.645,94,62,74,87,6.908,5.368,12.276,"53,6",0,1,0,0,0,1,1,"0,01",,,
23,Kalimantan Timur,370.991,"2,86",10.610,1.038,598,1.925,1.478,34,16,23,28,3.020,2.120,5.140,"48,4",1,1,0,0,1,1,2,"0,04",,,
24,Kalimantan Utara,71.443,"2,86",2.043,303,180,498,360,19,8,10,9,830,557,1.387,"67,9",0,0,0,0,0,0,0,"0,00",,,
25,Sulawesi Utara,238.270,"2,68",6.386,144,87,266,242,6,1,2,4,418,334,752,"11,8",0,0,0,0,0,0,0,"0,00",,,
26,Sulawesi Tengah,240.918,"5,19",12.504,1.507,1.215,2.952,2.430,103,69,90,64,4.652,3.778,8.430,"67,4",5,2,2,1,7,3,10,"0,12",,,
27,Sulawesi Selatan,717.711,"3,79",27.201,981,652,1.769,1.379,86,63,86,92,2.922,2.186,5.108,"18,8",5,7,2,1,7,8,15,"0,29",,,
28,Sulawesi Tenggara,267.729,"3,84",10.281,830,597,1.196,952,30,8,17,18,2.073,1.575,3.648,"35,5",4,9,5,4,9,13,22,"0,60",,,
29,Gorontalo,119.222,"4,84",5.770,570,508,968,832,39,29,49,18,1.626,1.387,3.013,"52,2",1,0,0,0,1,0,1,"0,03",,,
30,Sulawesi Barat,131.921,"4,88",6.438,247,172,562,458,16,10,8,11,833,651,1.484,"23,1",1,0,3,2,4,2,6,"0,40",,,
31,Maluku,153.195,"3,74",5.729,249,136,379,296,18,5,10,12,656,449,1.105,"19,3",22,40,68,130,90,170,260,"23,53",,,
32,Maluku Utara,118.716,"2,29",2.719,163,158,281,207,9,6,7,3,460,374,834,"30,7",3,1,0,0,3,1,4,"0,48",,,
33,Papua Barat,35.059,"2,88",1.010,248,195,410,396,15,16,11,13,684,620,1.304,"129,1",13,9,10,10,23,19,42,"3,22",,,
34,Papua,321.497,"2,80",9.002,2,2,5,7,0,0,1,0,8,9,17,"0,2",0,0,0,0,0,0,0,"0,00",,,
Indonesia,,24.945.087,"3,55",885.551,79.074,67.487,163.656,143.302,4.510,2.852,3.909,3.382,251.149,217.023,468.172,"52,9",123,128,119,181,242,309,551,"0,12",,,
No,Provinsi,Balita Batuk Atau Kesukaran Bernafas,,,Batuk Bukan Pneumonia,,,Jumlah Kab/Kota,Jumlah Kab/Kota Yang 50% Puskesmas Yang Melakukan Tatalaksana Standar Minimal 60%,Persentase Kab/Kota Yang 50% Puskesmas Yang Melakukan Tatalaksana Standar Minimal 60%,,,,,,,,,,,,,,,,,
,,Jumlah Kunjungan,Diberikan Tatalaksana Standar (Dihitung Napas/ Lihat TDDK*),Persentase Yang Diberikan Tatalaksana Standar,,,,,,,,,,,,,,,,,,,,,,,
,,,,,L,P,L + P,,,,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,,,,,,,,,,,,,,,,
1,Aceh,140.327,65.717,"46,8",86.981,84.789,171.770,23,6,"26,09",,,,,,,,,,,,,,,,,
2,Sumatera Utara,182.752,145.567,"79,7",122.360,120.886,243.246,33,16,"48,48",,,,,,,,,,,,,,,,,
3,Sumatera Barat,153.240,147.152,"96,0",78.083,76.499,154.582,19,18,"94,74",,,,,,,,,,,,,,,,,
4,Riau,159.821,122.939,"76,9",93.493,91.547,185.040,12,5,"41,67",,,,,,,,,,,,,,,,,
5,Jambi,147.642,128.550,"87,1",71.862,68.350,140.212,11,10,"90,91",,,,,,,,,,,,,,,,,
6,Sumatera Selatan,231.781,211.491,"91,2",122.905,123.895,246.800,17,13,"76,47",,,,,,,,,,,,,,,,,
7,Bengkulu,46.818,41.219,"88,0",24.076,24.024,48.100,10,8,"80,00",,,,,,,,,,,,,,,,,
8,Lampung,265.850,215.469,"81,0",139.492,138.118,277.610,15,13,"86,67",,,,,,,,,,,,,,,,,
9,Kep. Bangka Belitung,47.962,44.570,"92,9",22.775,21.494,44.269,7,7,"100,00",,,,,,,,,,,,,,,,,
10,Kepulauan Riau,55.111,30.918,"56,1",26.892,29.466,56.358,7,1,"14,29",,,,,,,,,,,,,,,,,
11,DKI Jakarta,528.669,524.528,"99,2",253.799,234.559,488.358,6,6,"100,00",,,,,,,,,,,,,,,,,
12,Jawa Barat,1.361.229,1.008.795,"74,1",678.627,667.320,1.345.947,27,17,"62,96",,,,,,,,,,,,,,,,,
13,Jawa Tengah,776.213,711.675,"91,7",481.602,490.476,972.078,35,18,"51,43",,,,,,,,,,,,,,,,,
14,DI Yogyakarta,55.899,53.269,"95,3",46.524,43.373,89.897,5,4,"80,00",,,,,,,,,,,,,,,,,
15,Jawa Timur,874.060,753.743,"86,2",457.964,471.054,929.018,38,30,"78,95",,,,,,,,,,,,,,,,,
16,Banten,484.844,351.174,"72,4",233.980,232.122,466.102,8,8,"100,00",,,,,,,,,,,,,,,,,
17,Bali,99.424,92.564,"93,1",54.248,48.665,102.913,9,7,"77,78",,,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,252.052,190.863,"75,7",126.117,118.637,244.754,10,10,"100,00",,,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,208.217,190.809,"91,6",119.748,118.118,237.866,22,18,"81,82",,,,,,,,,,,,,,,,,
20,Kalimantan Barat,52.995,45.757,"86,3",61.109,56.133,117.242,14,4,"28,57",,,,,,,,,,,,,,,,,
21,Kalimantan Tengah,73.039,64.449,"88,2",43.419,41.012,84.431,14,8,"57,14",,,,,,,,,,,,,,,,,
22,Kalimantan Selatan,134.134,120.540,"89,9",66.931,62.205,129.136,13,5,"38,46",,,,,,,,,,,,,,,,,
23,Kalimantan Timur,144.051,112.679,"78,2",85.423,79.132,164.555,10,5,"50,00",,,,,,,,,,,,,,,,,
24,Kalimantan Utara,30.595,30.328,"99,1",21.815,19.112,40.927,5,3,"60,00",,,,,,,,,,,,,,,,,
25,Sulawesi Utara,42.052,27.234,"64,8",38.029,38.183,76.212,15,8,"53,33",,,,,,,,,,,,,,,,,
26,Sulawesi Tengah,106.893,101.782,"95,2",55.399,52.955,108.354,13,12,"92,31",,,,,,,,,,,,,,,,,
27,Sulawesi Selatan,101.919,67.068,"65,8",73.154,68.378,141.532,24,9,"37,50",,,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,53.696,44.723,"83,3",33.830,30.229,64.059,17,6,"35,29",,,,,,,,,,,,,,,,,
29,Gorontalo,39.007,29.374,"75,3",18.118,16.855,34.973,6,5,"83,33",,,,,,,,,,,,,,,,,
30,Sulawesi Barat,39.226,30.018,"76,5",21.478,20.490,41.968,6,4,"66,67",,,,,,,,,,,,,,,,,
31,Maluku,66.695,42.454,"63,7",37.956,35.869,73.825,11,3,"27,27",,,,,,,,,,,,,,,,,
32,Maluku Utara,41.736,35.707,"85,6",33.892,32.050,65.942,10,4,"40,00",,,,,,,,,,,,,,,,,
33,Papua Barat,47.320,42.229,"89,2",24.747,24.136,48.883,13,2,"15,38",,,,,,,,,,,,,,,,,
34,Papua,2.565,810,"31,6",1.288,1.260,2.548,29,1,"3,45",,,,,,,,,,,,,,,,,
Indonesia,,7.047.834,5.826.163,"82,7",3.858.116,3.781.391,7.639.507,514,294,"57,20",,,,,,,,,,,,,,,,,
No,Provinsi,Jumlah Penduduk,Jumlah Kasus,Incidence Rate per 100.000 Penduduk,Meninggal,CFR (%),,,,,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),,,,,,,,,,,,,,,,,,,,,
1,Aceh,5.371.532,2.386,"44,42",6,"0,25",,,,,,,,,,,,,,,,,,,,,
2,Sumatera Utara,14.562.549,7.731,"53,09",38,"0,49",,,,,,,,,,,,,,,,,,,,,
3,Sumatera Barat,5.441.197,2.263,"41,59",9,"0,40",,,,,,,,,,,,,,,,,,,,,
4,Riau,6.971.745,4.126,"59,18",30,"0,73",,,,,,,,,,,,,,,,,,,,,
5,Jambi,3.624.579,2.158,"59,54",16,"0,74",,,,,,,,,,,,,,,,,,,,,
6,Sumatera Selatan,8.470.683,2.799,"33,04",16,"0,57",,,,,,,,,,,,,,,,,,,,,
7,Bengkulu,1.991.838,1.479,"74,25",13,"0,88",,,,,,,,,,,,,,,,,,,,,
8,Lampung,8.447.737,5.611,"66,42",17,"0,30",,,,,,,,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,1.488.792,1.012,"67,97",10,"0,99",,,,,,,,,,,,,,,,,,,,,
10,Kepulauan Riau,2.189.653,1.865,"85,17",11,"0,59",,,,,,,,,,,,,,,,,,,,,
11,DKI Jakarta,10.557.810,8.705,"82,45",0,"0,00",,,,,,,,,,,,,,,,,,,,,
12,Jawa Barat,49.316.712,23.483,"47,62",97,"0,41",,,,,,,,,,,,,,,,,,,,,
13,Jawa Tengah,34.718.204,9.124,"26,28",123,"1,35",,,,,,,,,,,,,,,,,,,,,
14,DI Yogyakarta,3.842.932,3.301,"85,90",6,"0,18",,,,,,,,,,,,,,,,,,,,,
15,Jawa Timur,39.698.631,18.397,"46,34",186,"1,01",,,,,,,,,,,,,,,,,,,,,
16,Banten,12.927.316,2.915,"22,55",14,"0,48",,,,,,,,,,,,,,,,,,,,,
17,Bali,4.336.923,4.979,"114,80",5,"0,10",,,,,,,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,5.070.385,2.971,"58,60",16,"0,54",,,,,,,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,5.456.203,4.059,"74,39",55,"1,36",,,,,,,,,,,,,,,,,,,,,
20,Kalimantan Barat,5.069.127,2.798,"55,20",21,"0,75",,,,,,,,,,,,,,,,,,,,,
21,Kalimantan Tengah,2.714.859,1.616,"59,52",24,"1,49",,,,,,,,,,,,,,,,,,,,,
22,Kalimantan Selatan,4.244.096,2.381,"56,10",15,"0,63",,,,,,,,,,,,,,,,,,,,,
23,Kalimantan Timur,3.721.389,6.723,"180,66",44,"0,65",,,,,,,,,,,,,,,,,,,,,
24,Kalimantan Utara,742.245,1.774,"239,00",15,"0,85",,,,,,,,,,,,,,,,,,,,,
25,Sulawesi Utara,2.506.981,2.381,"94,97",27,"1,13",,,,,,,,,,,,,,,,,,,,,
26,Sulawesi Tengah,3.054.023,1.947,"63,75",17,"0,87",,,,,,,,,,,,,,,,,,,,,
27,Sulawesi Selatan,8.851.240,3.265,"36,89",19,"0,58",,,,,,,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,2.704.737,1.479,"54,68",8,"0,54",,,,,,,,,,,,,,,,,,,,,
29,Gorontalo,1.202.631,1.221,"101,53",23,"1,88",,,,,,,,,,,,,,,,,,,,,
30,Sulawesi Barat,1.380.256,796,"57,67",8,"1,01",,,,,,,,,,,,,,,,,,,,,
31,Maluku,1.802.870,236,"13,09",5,"2,12",,,,,,,,,,,,,,,,,,,,,
32,Maluku Utara,1.255.771,1.195,"95,16",16,"1,34",,,,,,,,,,,,,,,,,,,,,
33,Papua Barat,959.617,354,"36,89",3,"0,85",,,,,,,,,,,,,,,,,,,,,
34,Papua,3.379.302,597,"17,67",6,"1,01",,,,,,,,,,,,,,,,,,,,,
Indonesia 268.074.565,,,138.127,"51,53",919,"0,67",,,,,,,,,,,,,,,,,,,,,
No,Provinsi,Penduduk,Malaria,,,,,,,,,,,,,,,,,,,,,,,,
,,,Suspek,Konfirmasi Laboratorium,,,% Konfirmasi Laboratorium,Positif,,,Pengobatan Standar,% Pengobatan Standar,Annual Paracite Incidence (API) per 1.000 Penduduk,,,,,,,,,,,,,,
